database_id,scale_factor,query_id,start,cpu_time,data_scanned,shuffled_mb
10,13,1,0,10352,3960.41,0.001
10,13,1,10000,10352,3960.41,0.001
10,13,1,10000,10352,3960.41,0.001
10,13,1,20000,10352,3960.41,0.001
10,13,1,20000,10352,3960.41,0.001
10,13,1,20000,10352,3960.41,0.001
10,13,1,40000,10352,3960.41,0.001
10,13,1,40000,10352,3960.41,0.001
10,13,1,40000,10352,3960.41,0.001
10,13,1,40000,10352,3960.41,0.001
10,13,1,60000,10352,3960.41,0.001
10,13,1,60000,10352,3960.41,0.001
10,13,1,60000,10352,3960.41,0.001
10,13,1,60000,10352,3960.41,0.001
10,13,1,60000,10352,3960.41,0.001
10,13,1,80000,10352,3960.41,0.001
10,13,1,80000,10352,3960.41,0.001
10,13,1,80000,10352,3960.41,0.001
10,13,1,80000,10352,3960.41,0.001
10,13,1,80000,10352,3960.41,0.001
10,13,1,80000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,110000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,140000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,170000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
10,13,1,200000,10352,3960.41,0.001
