query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
0,3,9,48054,48532,38.94,112050.0
2,3,1030,46901,47381,38.94,112050.0
3,11,3891,3956,44364,12.18,15720.0
8,12,4377,7685,48095,231.89,449400.0
3,10,4905,5489,45913,37.8,95110.0
5,13,5472,6918,47345,58.1,438060.0
3,11,6792,935,41821,12.18,15720.0
13,7,7394,31630,72036,1616.34,1893790.0
10,10,7421,11360,51738,497.0,1236430.0
2,11,8963,3129,36374,12.18,15720.0
3,9,9614,6084,44725,71.45,127850.0
3,6,9696,4741,43658,32.98,17490.0
3,12,11190,7109,46739,33.19,64200.0
3,14,11376,1681,43660,52.0,29000.0
5,18,13306,29883,60365,83.54,617040.0
13,18,13684,118452,148818,862.73,6376080.0
8,2,14271,5623,36004,79.16,386050.0
3,10,14403,569,40506,37.8,95110.0
3,19,14473,4426,44860,51.4,51580.0
19,5,15763,370894,401257,17448.96,2356364.0
8,8,17969,20703,51029,441.41,472360.0
8,9,18084,24784,56976,492.09,894950.0
3,12,18603,2927,39359,33.19,64200.0
8,13,19679,7277,40069,137.23,1022140.0
3,22,20305,11657,49280,6.29,19820.0
3,22,20989,11622,48595,6.29,19820.0
11,13,21049,20331,41494,340.48,2482340.0
13,1,21207,66365,87366,1146.88,4636360.0
3,14,21338,413,38408,52.0,29000.0
3,16,21592,1449,39605,3.42,32790.0
3,9,22359,126,38963,71.45,127850.0
8,11,22619,2163,39293,89.68,110040.0
8,4,24081,10986,48816,171.69,407330.0
8,10,24138,6417,51277,266.13,665770.0
8,17,24205,3929,52621,266.05,297010.0
8,23,24503,0,1,0.0,
8,3,25390,6113,55781,274.96,784350.0
8,10,25480,279,50213,266.13,665770.0
16,8,25864,148647,169037,5570.56,5735800.0
8,20,26940,4005,52759,358.53,324170.0
15,18,31316,68336,79230,1638.4,12135120.0
8,15,31875,4219,49170,630.71,324730.0
8,11,36880,451,43270,89.68,110040.0
9,21,38524,57515,67916,1034.24,1131400.0
8,8,40224,1476,41402,441.41,472360.0
8,23,40341,0,2,0.0,
8,13,41206,6655,46494,137.23,1022140.0
8,2,41417,490,40245,79.16,386050.0
19,22,42109,131658,132016,2775.04,7055920.0
5,6,42306,2273,2610,98.91,52470.0
3,6,42516,321,19126,32.98,17490.0
3,6,43151,296,18787,32.98,17490.0
3,14,43427,368,18880,52.0,29000.0
3,5,45072,1488,18724,41.06,6619.0
3,21,45702,9676,27769,80.86,113140.0
2,14,46325,2338,2339,52.0,29000.0
8,8,46804,2020,36842,441.41,472360.0
3,16,48490,4231,25326,3.42,32790.0
3,20,49166,2331,22750,53.74,46310.0
19,15,49404,79052,79399,32419.84,16514840.0
8,21,49614,44516,76565,680.89,791980.0
3,17,51617,846,21144,45.17,42430.0
11,17,52635,21305,21651,659.24,721310.0
8,13,54456,4055,33245,137.23,1022140.0
13,16,56441,20124,43111,35.82,1016490.0
3,2,57045,1524,17241,10.0,55150.0
8,12,57276,7436,37861,231.89,449400.0
3,18,57485,2358,18345,26.6,205680.0
15,20,57574,125427,125770,2949.12,2732290.0
15,23,58509,0,1,0.0,
13,14,58699,18231,59085,1433.66,899000.0
8,10,59712,3850,31840,266.13,665770.0
3,20,60396,1011,14431,53.74,46310.0
2,6,60934,777,1164,32.98,17490.0
13,5,61817,54238,100995,1413.12,205189.0
16,20,61928,155051,155405,4290.56,3936350.0
3,15,66509,5420,13197,79.18,46390.0
9,8,69043,27390,27757,652.73,674800.0
5,23,71056,0,2,0.0,
3,12,72896,807,2738,33.19,64200.0
13,15,73767,12847,56865,2662.4,1438090.0
5,20,74279,17394,17395,142.84,138930.0
3,2,74762,504,1377,10.0,55150.0
3,13,74781,2222,3270,18.72,146020.0
3,5,75599,545,1084,41.06,6619.0
8,5,77269,6951,21232,328.42,46333.0
8,18,77551,19291,36877,194.46,1439760.0
5,2,77962,6757,7273,39.35,165450.0
3,4,78590,563,564,24.68,58190.0
8,10,78823,385,20064,266.13,665770.0
8,19,78839,8615,28664,309.56,361060.0
8,3,79351,844,28995,274.96,784350.0
3,8,79692,510,511,64.36,67480.0
3,18,79903,711,712,26.6,205680.0
5,12,80088,6869,7227,99.52,192600.0
13,18,80729,82314,132216,862.73,6376080.0
5,11,81403,6552,10384,42.57,47160.0
8,19,81928,4803,31222,309.56,361060.0
5,20,82102,4220,9432,142.84,138930.0
8,19,82610,4116,34654,309.56,361060.0
3,14,82893,306,307,52.0,29000.0
11,18,82917,34435,34436,472.1,3496560.0
8,21,86738,13857,41546,680.89,791980.0
8,11,86974,921,31211,89.68,110040.0
8,10,87063,407,31530,266.13,665770.0
19,5,88438,375881,416246,17448.96,2356364.0
3,22,88978,2694,2694,6.29,19820.0
8,23,90026,0,1,0.0,
3,23,91924,0,1,0.0,
2,18,94288,4337,4738,26.6,205680.0
5,13,97163,5014,5015,58.1,438060.0
8,19,97290,2401,23703,309.56,361060.0
15,21,99841,246066,246487,5560.32,6675260.0
16,14,100872,48785,49177,3993.6,2465000.0
8,17,102832,1758,19921,266.05,297010.0
13,5,103251,50621,109872,1413.12,205189.0
15,6,104041,41594,48099,1945.6,1031910.0
15,12,107143,115782,160779,1986.56,3787800.0
3,15,110020,11846,12199,79.18,46390.0
8,8,111006,1605,13353,441.41,472360.0
8,7,111302,746,13800,373.81,427630.0
8,15,111466,3141,16777,630.71,324730.0
3,13,112707,5029,5471,18.72,146020.0
3,19,114593,2893,3233,51.4,51580.0
8,22,115709,4328,14797,46.48,138740.0
8,2,115880,774,13138,79.16,386050.0
8,4,117809,2347,12821,171.69,407330.0
8,19,118577,2296,12737,309.56,361060.0
