query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
0,3,9,4608,5078,38.94,112050.0
2,3,2073,12289,12683,38.94,112050.0
3,11,5433,6314,6747,12.18,15720.0
3,10,6448,7747,8092,37.8,95110.0
8,12,7005,10394,10802,231.89,449400.0
5,13,7744,8083,8457,58.1,438060.0
3,11,8333,3155,3839,12.18,15720.0
2,11,10005,4267,4648,12.18,15720.0
10,10,10200,4512,4880,497.0,1236430.0
13,7,10597,43170,44499,1616.34,1893790.0
3,9,11156,6024,7040,71.45,127850.0
3,6,11238,5467,6409,32.98,17490.0
3,12,12731,6151,7959,33.19,64200.0
3,14,12918,1373,6103,52.0,29000.0
5,18,15578,7770,8184,83.54,617040.0
3,10,15944,160,2412,37.8,95110.0
3,19,16015,3825,6166,51.4,51580.0
13,18,16887,95298,96097,862.73,6376080.0
8,2,16900,7920,8684,79.16,386050.0
19,5,19343,288995,289398,17448.96,2356364.0
3,12,20145,549,550,33.19,64200.0
8,8,20598,23735,23738,441.41,472360.0
8,9,20713,27088,27458,492.09,894950.0
3,22,21847,2844,2845,6.29,19820.0
8,13,22307,3606,6883,137.23,1022140.0
3,22,22532,2159,2161,6.29,19820.0
3,14,22880,211,212,52.0,29000.0
3,16,23135,1316,1318,3.42,32790.0
11,13,23872,29441,29785,340.48,2482340.0
3,9,23902,109,660,71.45,127850.0
13,1,24410,60600,60936,1146.88,4636360.0
8,11,25247,2131,6074,89.68,110040.0
8,4,26711,12764,17376,171.69,407330.0
8,10,26766,1915,19234,266.13,665770.0
8,17,26833,2556,20057,266.05,297010.0
8,23,27132,0,1,0.0,
8,3,28020,1744,19726,274.96,784350.0
8,10,28110,110,18892,266.13,665770.0
16,8,29330,86555,86957,5570.56,5735800.0
8,20,29568,1907,19340,358.53,324170.0
8,15,34504,2649,15890,630.71,324730.0
15,18,34671,73990,74353,1638.4,12135120.0
8,11,39509,484,9147,89.68,110040.0
9,21,41464,46049,46465,1034.24,1131400.0
8,8,42854,1932,7733,441.41,472360.0
8,23,42970,0,1,0.0,
8,13,43835,1541,6614,137.23,1022140.0
8,2,44046,1775,8123,79.16,386050.0
3,6,44059,144,550,32.98,17490.0
5,6,44578,3738,4136,98.91,52470.0
3,6,44694,152,153,32.98,17490.0
3,14,44970,193,194,52.0,29000.0
19,22,45688,135745,136081,2775.04,7055920.0
3,5,46614,2291,2292,41.06,6619.0
3,21,47244,4544,4927,80.86,113140.0
2,14,47367,2870,3217,52.0,29000.0
8,8,49434,1652,2667,441.41,472360.0
3,16,50032,1276,1277,3.42,32790.0
3,20,50709,2086,2426,53.74,46310.0
8,21,52243,10043,10045,680.89,791980.0
19,15,52984,27685,28051,32419.84,16514840.0
3,17,53160,774,775,45.17,42430.0
11,17,55458,27825,27826,659.24,721310.0
8,13,57085,1817,1819,137.23,1022140.0
3,2,58586,811,812,10.0,55150.0
3,18,59027,2059,2061,26.6,205680.0
13,16,59646,12067,12069,35.82,1016490.0
8,12,59904,1540,1541,231.89,449400.0
15,20,60929,86347,86748,2949.12,2732290.0
15,23,61865,0,1,0.0,
13,14,61902,6012,15824,1433.66,899000.0
3,20,61938,438,439,53.74,46310.0
2,6,61976,831,1162,32.98,17490.0
8,10,62341,196,197,266.13,665770.0
13,5,65020,44956,57662,1413.12,205189.0
16,20,65395,36044,36441,4290.56,3936350.0
3,15,68050,400,401,79.18,46390.0
9,8,71983,15977,16342,652.73,674800.0
5,23,73328,0,1,0.0,
3,12,74439,262,263,33.19,64200.0
3,2,76304,280,281,10.0,55150.0
3,13,76324,1214,1577,18.72,146020.0
5,20,76550,9455,9800,142.84,138930.0
13,15,76971,6365,14741,2662.4,1438090.0
3,5,77141,309,310,41.06,6619.0
8,5,79899,2067,2440,328.42,46333.0
3,4,80133,244,245,24.68,58190.0
8,18,80179,3958,4289,194.46,1439760.0
5,2,80234,3204,3553,39.35,165450.0
3,8,81233,347,348,64.36,67480.0
3,18,81445,301,302,26.6,205680.0
8,10,81451,170,533,266.13,665770.0
8,19,81467,4330,4846,309.56,361060.0
8,3,81979,704,1062,274.96,784350.0
5,12,82360,3617,4012,99.52,192600.0
5,11,83674,1617,1728,42.57,47160.0
13,18,83932,70059,77839,862.73,6376080.0
5,20,84375,2652,3680,142.84,138930.0
3,14,84434,287,288,52.0,29000.0
8,19,84557,2002,2003,309.56,361060.0
8,19,85239,2026,2027,309.56,361060.0
11,18,85740,22604,22605,472.1,3496560.0
8,21,89366,7817,7818,680.89,791980.0
8,11,89604,794,795,89.68,110040.0
8,10,89691,197,198,266.13,665770.0
