query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
1.0_15.0,8987.256,47.31999633,0.003,2.246814,2.2468139999999996,4.440892098500626e-16,2.957499771,2.957499770625,3.750000310276391e-10,2.4e-06,2.4e-06,0.0
1.0_16.0,12947.562,72.7099965,0.003,3.2368905,3.2368905,0.0,4.544374781,4.54437478125,2.5000002068509275e-10,2.4e-06,2.4e-06,0.0
1.0_17.0,19041.201,111.8599966,0.003,4.76030025,4.76030025,0.0,6.991249788,6.9912497875,5.000000413701855e-10,2.4e-06,2.4e-06,0.0
1.0_18.0,30768.65,183.0439966,0.003,7.6921625,7.6921625,0.0,11.44024979,11.4402497875,2.499998430494088e-09,2.4e-06,2.4e-06,0.0
1.0_19.0,54225.087,337.8919966,0.003,13.55627175,13.55627175,0.0,21.11824979,21.1182497875,2.499998430494088e-09,2.4e-06,2.4e-06,0.0
2.0_15.0,21.767,5.124,4.015,0.00544175,0.0054417499999999995,8.673617379884035e-19,0.32025,0.32025,0.0,0.003212,0.0032119999999999996,4.336808689942018e-19
2.0_16.0,32.10825,9.36,5.777666667,0.0080270625,0.0080270625,0.0,0.585,0.585,0.0,0.004622133333,0.0046221333336,6.000000843386921e-13
2.0_17.0,47.99175,15.82,8.507333333,0.0119979375,0.011997937500000002,1.734723475976807e-18,0.98875,0.98875,0.0,0.006805866667,0.0068058666664,6.000000843386921e-13
2.0_18.0,91.5058,22.139,13.765,0.02287645,0.02287645,0.0,1.3836875,1.3836875,0.0,0.011012,0.011012000000000001,1.734723475976807e-18
2.0_19.0,169.669,35.924,24.21066667,0.04241725,0.042417250000000004,6.938893903907228e-18,2.24525,2.24525,0.0,0.01936853333,0.019368533336,5.999999108663445e-12
3.0_15.0,1833.524,3.273320333,6.756,0.458381,0.458381,0.0,0.2045825208,0.2045825208125,1.2500001034254637e-11,0.0054048,0.0054048,0.0
3.0_16.0,118.75975,30.669993,56.64066667,0.0296899375,0.0296899375,0.0,1.916874563,1.9168745625,4.999998193255806e-10,0.04531253333,0.045312533336,5.999999108663445e-12
3.0_17.0,8221.64,31.4079824,14.315,2.05541,2.0554099999999997,4.440892098500626e-16,1.9629989,1.9629989,0.0,0.011452,0.011452,0.0
