query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
1.0_15.0,4493.851,33.32999625,0.003,2.2469255,2.2469254999999997,4.440892098500626e-16,1.041562383,1.0415623828125,1.8750001551381956e-10,2.4e-06,2.4e-06,0.0
1.0_16.0,6473.983,62.639997,0.00225,3.2369915,3.2369915000000002,4.440892098500626e-16,1.957499906,1.95749990625,2.5000002068509275e-10,1.8e-06,1.8e-06,0.0
1.0_17.0,9520.706,99.5999965,0.003,4.760353,4.760353,0.0,3.112499891,3.112499890625,3.750000310276391e-10,2.4e-06,2.4e-06,0.0
1.0_18.0,15384.269,170.8749968,0.003,7.6921345,7.6921345,0.0,5.339843648,5.33984365,1.9999992773023223e-09,2.4e-06,2.4e-06,0.0
1.0_19.0,27112.335,311.719997,0.003,13.5561675,13.556167499999999,1.7763568394002505e-15,9.741249906,9.74124990625,2.4999913250667305e-10,2.4e-06,2.4e-06,0.0
2.0_15.0,11.695,0.053325,2.2,0.0058475,0.0058475,0.0,0.00166640625,0.00166640625,0.0,0.00176,0.00176,0.0
2.0_16.0,16.683,0.113315,3.105,0.0083415,0.0083415,0.0,0.00354109375,0.00354109375,0.0,0.002484,0.002484,0.0
2.0_17.0,30.24,0.314986,4.645,0.01512,0.01512,0.0,0.0098433125,0.0098433125,0.0,0.003716,0.0037159999999999997,4.336808689942018e-19
2.0_18.0,1441.2275,2.8039672,7.355,0.72061375,0.7206137499999999,1.1102230246251565e-16,0.087623975,0.087623975,0.0,0.005884,0.005884,0.0
2.0_19.0,1703.406,7.09497775,13.462,0.851703,0.851703,0.0,0.2217180547,0.2217180546875,1.2500001034254637e-11,0.0107696,0.010769599999999999,1.734723475976807e-18
3.0_15.0,1449.972,3.213323333,3.383,0.724986,0.724986,0.0,0.1004163542,0.10041635415625,4.375000361989123e-11,0.0027064,0.0027064,0.0
3.0_16.0,59.39075,20.394993,28.31325,0.029695375,0.029695375,0.0,0.6373435313,0.63734353125,5.000000413701855e-11,0.0226506,0.0226506,0.0
3.0_17.0,87.32925,38.974993,41.671,0.043664625,0.043664625,0.0,1.217968531,1.21796853125,2.5000002068509275e-10,0.0333368,0.0333368,0.0
3.0_18.0,141.3625,72.619993,67.6475,0.07068125,0.07068125,0.0,2.269374781,2.26937478125,2.5000002068509275e-10,0.054118,0.05411799999999999,6.938893903907228e-18
3.0_19.0,10543.551,122.59498,20.381,5.2717755,5.2717754999999995,8.881784197001252e-16,3.831093125,3.831093125,0.0,0.0163048,0.0163048,0.0
4.0_15.0,83.906,1.873325333,0.001,0.041953,0.041953000000000004,6.938893903907228e-18,0.05854141667,0.05854141665625,1.3750001137680101e-11,8e-07,8e-07,0.0
4.0_16.0,663.378,8.77999225,0.001,0.331689,0.331689,0.0,0.2743747578,0.2743747578125,1.2500001034254637e-11,8e-07,8e-07,0.0
4.0_17.0,178.087,24.0649935,0.001,0.0890435,0.0890435,0.0,0.7520310469,0.752031046875,2.5000002068509275e-11,8e-07,8e-07,0.0
